id,amount,latitude,longitude,m2,stratum,bathrooms,bedrooms,garage
192131223,630000000,6.2476376,-75.5658153,,4,2,2,1
192248850,370000000,6.2254614,-75.5610491,,4,2,3,
192189539,1190000000,6.2147156,-75.5548406,,,2,2,2
192361838,365000000,6.2679897,-75.5904285,,4,2,3,
192222354,560000000,6.2158595,-75.5987232,,5,3,4,2
192281824,900500000,6.1970487,-75.5689607,,6,4,3,2
192227894,950000000,6.2459910084153,-75.598482795411,,5,3,3,2
192235720,285000000,6.23561,-75.6117764,,4,1,2,1
192359741,475000000,6.2647472,-75.6037116,,5,2,3,1
192122797,2700000000,6.1799446,-75.5640593,,5,5,4,4
192198745,565000000,6.2178121,-75.6040772,,5,2,3,1
192279693,340000000,6.2207997,-75.6040591,,4,1,1,
192211904,750000000,6.2381531,-75.5926488,,5,2,3,1
192341776,212000000,6.183039,-75.649946,,3,1,2,
